"Interface Type:","ZSACONF",,,,,,,,,,,,,,
"Owner Partner:","SP247E",,,,,,,,,,,,,,
"Partner:","PW",,,,,,,,,,,,,,
"Selection Profile Number:","00000000000000002669",,,,,,,,,,,,,,
"Selection Profile Name:","PO/scheduling agreement",,,,,,,,,,,,,,
"Created By:","V1011307",,,,,,,,,,,,,,
"Created On:","10/28/2016 12:50:58 EST",,,,,,,,,,,,,,
"*Date Format MM/DD/YYYY",,,,,,,,,,,,,,,
"*Column (P) is System Generated No.",,,,,,,,,,,,,,,
"* Allowed for changes... ( conf qty, conf date, reason code and text)",,,,,,,,,,,,,,,
"PREV_ID","ORDER_ID","ITEM_ID","SCH_LINE_ID","PRODUCT_ID","DELIVERY_DATE","REQUESTED_QTY","RESCH_DATE","RESCH_QTY","CONF_DATE","CONF_QTY","UNIT","RCODE","ZCOMMENTS","STATUS","CONFIRMATION"
"SA Release No.","Reference Document","Ref.ItemID","SL No.","Product","Delivery Date","Sched. Qty","Reschedule Date","Reschedule Qty.","Confirmed Date","Conf. Qty","UoM","Reason Code","Text","Conf. Status","Don't Update / Delete System Generated No."
"213","5600164398","00010","1","5317843","11/30/2016","1.00","","0.00","11/30/2016","0.00","EA","","","Request","1001330804"
"213","5600164398","00010","2","5317843","12/22/2016","3.00","12/23/2016","3.00","12/22/2016","3.00","EA","","","Request","1001468301"
"213","5600164384","00010","1","5317844","11/01/2016","1.00","","0.00","11/01/2016","0.00","EA","","","Request","1001547765"
"213","5600164384","00010","2","5317844","01/03/2017","5.00","","0.00","01/03/2017","0.00","EA","","","Request","1001547766"
"216","5600163225","00010","1","30G1703","08/01/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1000089786"
"217","5600163218","00010","1","30G2461","05/23/2016","1.00","","0.00","10/28/2016","0.00","EA","","","Request","1000093684"
"217","5600163218","00010","2","30G2461","06/23/2016","3.00","","0.00","10/28/2016","0.00","EA","","","Request","1000093685"
"217","5600163218","00010","3","30G2461","07/22/2016","3.00","","0.00","10/28/2016","0.00","EA","","","Request","1000093686"
"217","5600163218","00010","4","30G2461","08/24/2016","4.00","","0.00","10/28/2016","0.00","EA","","","Request","1000387879"
"","4400203954","00010","0000000001","30G3459SK01","05/31/2016","1.00","","0.00","","0.00","EA","","","Request","1001484714"
