"No Fournisseur","Division","No Doc d'achat","Item","No Pièce","Description","Sous Description","No dessin","Rév dessin","Prix","Devise","UM Prix","Base de prix","Unité qté à Unité prix","Unité prix à Unité qté","Ach","Planif","Pays Orig","Code HS","Code visa","UM Qté","Type emb","Date déb qté cum","Qté cum  reçue","Qté cum zone ferme","Qté cum zone matière","Qté dern récep","Date dern récep","Type d'appel","No appel","Date appel","Heure appel","Date fin zone ferme","Date fin zone Matière","Qté Cédulée","Qté Reçue","Bal à recevoir","Date Récp au Site BRP","Heure Récp au Site BRP","Regroup","Ferme ou Matière","Qté Appel Préc","Diff qté cédulée"
"0000104947","0001","5500033213","00010","503191233","AXE SUPERIEUR","","503191233","","4.53","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","485.000","4085.000","4085.000","485.000","2008/05/09","1","0000000010","2008/06/09","01:08:52","2008/07/07","2008/08/18","2400.000","0","2400.000","2008/10/06","00:00:00","W","","2400.000","0"
"0000104947","0001","5500033213","00010","503191233","AXE SUPERIEUR","","503191233","","4.53","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","485.000","4085.000","4085.000","485.000","2008/05/09","1","0000000010","2008/06/09","01:08:52","2008/07/07","2008/08/18","1200.000","0","1200.000","2008/10/27","00:00:00","W","","1200.000","0"
"0000104947","0001","5500033213","00010","503191233","AXE SUPERIEUR","","503191233","","4.53","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","485.000","4085.000","4085.000","485.000","2008/05/09","1","0000000010","2008/06/09","01:08:52","2008/07/07","2008/08/18","1200.000","0","1200.000","2008/11/03","00:00:00","W","","1200.000","0"
"0000104947","0001","5500033213","00010","503191233","AXE SUPERIEUR","","503191233","","4.53","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","485.000","4085.000","4085.000","485.000","2008/05/09","1","0000000010","2008/06/09","01:08:52","2008/07/07","2008/08/18","2400.000","0","2400.000","2008/11/10","00:00:00","W","","2400.000","0"
"0000104947","0001","5500033213","00010","503191233","AXE SUPERIEUR","","503191233","","4.53","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","485.000","4085.000","4085.000","485.000","2008/05/09","1","0000000010","2008/06/09","01:08:52","2008/07/07","2008/08/18","2180.000","0","2180.000","2008/11/17","00:00:00","W","","2180.000","0"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","432.000","0","432.000","2008/06/18","00:00:00","D","F","432.000","0"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","192.000","0","192.000","2008/06/19","00:00:00","D","F","192.000","0"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","240.000","0","240.000","2008/06/20","00:00:00","D","F","240.000","0"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","0","0","0","2008/07/07","00:00:00","W","M","1248.000","-1248.000"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","192.000","0","192.000","2008/07/07","00:00:00","D","F","0","192.000"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","576.000","0","576.000","2008/07/08","00:00:00","D","M","0","576.000"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","240.000","0","240.000","2008/07/09","00:00:00","D","M","0","240.000"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","240.000","0","240.000","2008/07/10","00:00:00","D","M","0","240.000"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","1680.000","0","1680.000","2008/08/04","00:00:00","W","M","1680.000","0"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","960.000","0","960.000","2008/08/11","00:00:00","W","M","960.000","0"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","1152.000","0","1152.000","2008/08/18","00:00:00","W","","1152.000","0"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","768.000","0","768.000","2008/09/01","00:00:00","W","","768.000","0"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","1056.000","0","1056.000","2008/09/08","00:00:00","W","","1056.000","0"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","864.000","0","864.000","2008/09/15","00:00:00","W","","864.000","0"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","2496.000","0","2496.000","2008/09/22","00:00:00","W","","2496.000","0"
"0000104947","0001","5500031664","00010","503191258","ARBRE D'AMORTISSEUR CENTRAL","","503191258","A.","3.80","USD","PC","1","1","1","150","201","CA","","","PC","62","2008/03/06","0","1056.000","4752.000","0","0000/00/00","1","0000000018","2008/06/09","01:08:49","2008/07/07","2008/08/18","1584.000","0","1584.000","2008/10/13","00:00:00","W","","1584.000","0"
